,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': 'engadget', 'name': 'Engadget'}",Kris Holt,Apple has reportedly made foldable iPhone prototypes,"Given how the smartphone market has evolved over the last few years, it’s little surprise that Apple
 is looking into the possibility of making foldable iPhones
. The company surely has all kinds of weird and wacky devices in its research lab, but a new rep…",https://www.engadget.com/apple-has-reportedly-made-foldable-iphone-prototypes-152804263.html,https://s.yimg.com/ny/api/res/1.2/pGkXQSIhVIvAPZYIg5xdDg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-09/2e2b2781-5695-11ee-8f93-fd4d33d1e95e,2024-02-07T15:28:04Z,"Given how the smartphone market has evolved over the last few years, its little surprise that Apple
 is looking into the possibility of making foldable iPhones
. The company surely has all kinds of… [+2470 chars]"
11,"{'id': 'engadget', 'name': 'Engadget'}",Jeff Dunn,One of our favorite noise-canceling earbuds is cheaper than ever,"We recommend the Bose QuietComfort Ultra Earbuds in our guide to the best wireless earphones for those who just want the strongest active noise cancellation (ANC) possible in a true wireless design. If you've been looking to pick up a pair, take note: A recen…",https://www.engadget.com/one-of-our-favorite-noise-canceling-earbuds-is-cheaper-than-ever-155517532.html,https://s.yimg.com/ny/api/res/1.2/uQpPvBNTfXB4nmUXY5h8Lw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-09/b16f75c0-570c-11ee-b7ff-994a996eb0f8,2024-02-07T15:55:17Z,We recommend the Bose QuietComfort Ultra Earbuds in our guide to the best wireless earphones for those who just want the strongest active noise cancellation (ANC) possible in a true wireless design. … [+2907 chars]
12,"{'id': None, 'name': 'Yahoo Entertainment'}",Richard Lai,Apple Vision Pro teardown deconstructs the weird-looking EyeSight display,"One of Vision Pro's most intriguing features is undoubtedly the EyeSight display, which projects a visual feed of your own eyes to better connect with people in the real world — because eye contact matters, be it real or virtual. As iFixit discovered in its t…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a368c64e-c8dc-43e6-a868-0bbd09861b6d,,2024-02-05T08:34:26Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
13,"{'id': None, 'name': 'Yahoo Entertainment'}",Terrence O&#39;Brien,AIAIAI Unit-4 review: Unique wireless portable studio monitors,"I’ve been using the AIAIAI Unit-4 Wireless+
 studio monitors for a couple of months now. And initially, I wasn’t sure what to make of them. They’re solid studio monitors with 4-inch woofers and 1-inch silk tweeters. They sound good and look good. But the pit…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fd45afc3-654d-43a7-8606-86a5133c18e1,,2024-02-16T13:00:48Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 242 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
14,"{'id': None, 'name': 'Yahoo Entertainment'}",Mat Smith,The Morning After: The verdict on Samsung's Galaxy S24 Ultra,"Samsung’s 2024 flagship has landed. The S24 Ultra has a new titanium frame, improved telephoto cameras and is jam-packed with new AI smarts and features. It’s also more expensive than ever.
It’s the AI features not hardware that mark this year’s S23 series, t…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_dce02605-25f7-4d7c-955f-a8422883decf,,2024-01-30T12:15:05Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
15,"{'id': None, 'name': 'Yahoo Entertainment'}",Billy Steele,Bose Ultra Open Earbuds review: Function meets fashion,"Last month, Bose took an interesting approach to debuting a new product when it launched its Ultra Open Earbuds exclusively through a collaboration with fashion company Kith. Now, Bose is back with its own version, nixing the co-branding while keeping the sam…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_66a62ccd-8744-421c-b874-19cc08be2e2f,,2024-02-15T14:00:15Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 242 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
16,"{'id': None, 'name': 'Yahoo Entertainment'}",Steve Dent,Japan's SLIM lunar probe returns to life more than a week after landing upside down,"Japan's lunar lander has regained power a full nine days after it landed on the moon's surface nearly upside down and was subsequently switched off, JAXA (Japan Aerospace Exploration Agency) announced. A change in the sun's position allowed the solar panels t…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_043c1081-d30c-408d-8c56-09a0dc9af60e,,2024-01-29T12:45:07Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
17,"{'id': None, 'name': 'Yahoo Entertainment'}",Will Shanklin,Acer’s latest Swift laptops have AMD 8040 chips with Ryzen AI support,"Acer unveiled a pair of AMD Ryzen 8040 series laptops on Tuesday. Unsurprisingly, given their chips’ dedicated neural processing units (NPU), the company is marketing the 2024 Acer Swift Edge 16 and Swift Go 14 as AI workhorses. The Windows 11 machines suppor…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8730e69e-fe1c-474e-a99b-d185896e6a35,,2024-02-20T18:29:42Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 241 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
18,"{'id': None, 'name': 'Yahoo Entertainment'}",Billy Steele,Audio-Technica ATH-TWX7 review: Good earbuds with frustrating flaws,"I’ve come to expect certain things from Audio-Technica earbuds and headphones. First, there’s the company’s warm, soothing sound profile that’s easy to listen to for hours at a time. It’s usually good, but not necessarily great, though the company typically c…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4c656ee4-f784-47e9-8563-7fa293410aad,,2024-01-24T16:00:54Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
19,"{'id': None, 'name': 'Yahoo Entertainment'}",Mat Smith,The Morning After: Apple’s car project still exists,"Remember the Apple car rumors? Project Titan, as it’s apparently called, is still progressing, with perhaps, a dose of reality. Bloomberg’s Mark Gurman says the company’s decade-old project has shifted from creating a fully self-driving car to an EV more like…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_bb7f44ab-39da-42b4-a91f-07ec4a59d884,,2024-01-24T12:15:59Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 244 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
20,"{'id': None, 'name': 'Yahoo Entertainment'}",Steve Dent,Fujifilm's X100VI is a big step forward for the TikTok-famous compact camera,"Fujifilm's X100V was the toy to have over the last couple of years (thanks, TikTok) and the company has now released its successor, the 40.2-megapixel X100 VI, with large improvements across the board. While keeping the same retro form, it offers much faster …",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_62176b22-3aa3-4df4-8762-a1d55959a0f9,,2024-02-20T10:09:18Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 241 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
21,"{'id': None, 'name': 'Yahoo Entertainment'}",Steve Dent,Sony A9 III review: The future of cameras is fast,"After letting rival camera companies catch up for the last few years, Sony laid down a gauntlet with the 24.6-megapixel A9 III. It’s the world’s first mirrorless camera with a global shutter, a much-awaited holy grail feature. It completely eliminates rolling…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_6baf16b8-ecc9-4bc0-ae5b-9cebb84803f6,,2024-02-19T13:00:57Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 242 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
22,"{'id': 'wired', 'name': 'Wired'}","Michael Calore, Lauren Goode",The Apple Vision Pro Lives Deep in the Uncanny Valley,"This week, we learn what it feels like to use Apple's new mixed reality headset, and we examine the various ways Apple envisions people interacting with each other while wearing the devices.",https://www.wired.com/story/gadget-lab-podcast-630/,"https://media.wired.com/photos/65bae385cc880e2d196fd460/191:100/w_1280,c_limit/Apple-Vision-Pro-Uncanny-Valley-Gadget-Lab-Gear-GettyImages-1258467410.jpg",2024-02-01T13:00:00Z,"Apple's first ever mixed reality headset, the Vision Pro, arrives tomorrow. Apple has a knack for revitalizing and legitimizing a product categorysomething that the face computer market really needs … [+1863 chars]"
23,"{'id': 'wired', 'name': 'Wired'}",Aarian Marshall,Ford Is Giving Away Free Tesla Charger Converters That Will Unlock a New World of EV Power,Mustang Mach-E and F-150 Lightning pickup owners can now reserve complimentary adapters—but the real win is access to one of the largest and most developed charging networks in the world.,https://www.wired.com/story/ford-is-giving-away-free-tesla-ev-charger-converters/,"https://media.wired.com/photos/65ba8ab45616ce5477cad23d/191:100/w_1280,c_limit/Ford-Tesla-Charger-Adapter-Gear-Ford_Tesla_Mustang%20Mach-E.jpg",2024-01-31T20:05:45Z,Ford CEO Jim Farley hopped on Elon Musks X today to make an announcement relevant to Elon Musks Tesla: Ford will be giving away adapters so that its electric vehicles can easily charge on Teslas char… [+2889 chars]
24,"{'id': 'wired', 'name': 'Wired'}",Jaina Grey,"7 Best Valentine's Day Sex Toy Deals: Suction Toys, Vibrators, and Dildos",Ditch the cards and flowers. Gift yourself or your partner(s) something more buzz-worthy.,https://www.wired.com/story/best-valentines-day-sex-toy-deals/,"https://media.wired.com/photos/65c11a15b0e2f8703fc83c03/191:100/w_1280,c_limit/Magic-Wand-Mini-Gear.jpg",2024-02-05T17:33:30Z,"Valentines Day is quickly approaching but so is its ancient predecessor, Lupercalia! While we dont celebrate this holiday anymore by running naked through the streets, theres no reason you cant obser… [+3094 chars]"
25,"{'id': 'wired', 'name': 'Wired'}",Jeremy White,"Kia EV9 2024 Review: Price, Specs, Release Date",This cavernous and quick all-electric seven-seater is the Korean car brand’s play to beat luxury SUVs that are twice the price. And it could well succeed because this is Kia’s best car yet.,https://www.wired.com/review/review-kia-ev9-2024/,"https://media.wired.com/photos/65af0698e18de1edb5bf8e2b/191:100/w_1280,c_limit/20205_2024_EV9_GT-Line.jpg",2024-01-23T17:00:00Z,"From a power point of view, this being a Kia, it has vehicle-to-load capability, which means you can plug in household appliances and run them from the car battery. But the EV9 also has vehicle-to-ho… [+3239 chars]"
26,"{'id': 'wired', 'name': 'Wired'}",Julian Chokkattu,OnePlus 12 Review: Perfectly Polished Hardware,"OnePlus’ new $800 Android phone has all the specs you’d want, and looks very polished to boot.",https://www.wired.com/review/oneplus-12/,"https://media.wired.com/photos/65af0355a73d6dedff595b7d/191:100/w_1280,c_limit/Gear-OnePlus-12-SOURCE-Julian-Chokkattu.jpg",2024-01-23T15:00:00Z,"At Samsung's Galaxy Unpacked event last week, the spotlight was on #GalaxyAI, the Google-powered artificial intelligence inside Samsung's new Galaxy S24 smartphones. The hardware took a backseat. One… [+2898 chars]"
27,"{'id': 'wired', 'name': 'Wired'}",Louryn Strampe,"21 Best Presidents' Day Deals (2024): Tech, Couches, and More","Pixel smartphones, Sony headphones, and Apple iPads are all on sale. Save big over the long weekend.",https://www.wired.com/story/best-presidents-day-deals-sales-2024/,,2024-02-16T21:01:53Z,Shopping holidays are often filled with made-up deals on junk gadgets and bunk gizmos. But dare I say that this year's Presidents' Day deals are a pleasant surprise. Seriously! There are matches of B… [+9285 chars]
28,"{'id': 'wired', 'name': 'Wired'}",Louryn Strampe,"21 Best Presidents' Day Deals (2024): Tech, Couches, and More","Pixel smartphones, Sony headphones, and Apple iPads are all on sale. Save big over the long weekend.",https://www.wired.com/story/the-best-presidents-day-deals-nl/,,2024-02-16T21:32:14Z,Shopping holidays are often filled with made-up deals on junk gadgets and bunk gizmos. But dare I say that this year's Presidents' Day deals are a pleasant surprise. Seriously! There are matches of B… [+9285 chars]
29,"{'id': 'the-verge', 'name': 'The Verge'}",Jennifer Pattison Tuohy,Ring’s latest battery doorbell comes with new features but the same old look,"The $230 Ring Battery Doorbell Pro is its first battery-powered buzzer with 3D motion detection, but it looks just like all the others.",https://www.theverge.com/2024/2/7/24063837/ring-battery-doorbell-pro-price-release-date-specs-features,https://cdn.vox-cdn.com/thumbor/TPb42jUowbhm-OPNzix09R1Rpeo=/0x0:1500x1500/1200x628/filters:focal(750x750:751x751)/cdn.vox-cdn.com/uploads/chorus_asset/file/25270644/Battery_Doorbell_Pro_3.jpg,2024-02-07T14:15:00Z,"Rings latest battery doorbell comes with new features but the same old look
Rings latest battery doorbell comes with new features but the same old look
 / The Ring Battery Doorbell Pro brings radar… [+4853 chars]"
30,"{'id': 'the-verge', 'name': 'The Verge'}",Wes Davis,A new Vision Pro teardown shows Apple’s incredible pixel density,"The Apple Vision Pro features displays with an impressive 3,386ppi, as shown in iFixit’s teardown of the headset that focuses on its MicroOLED, sensors, and battery.",https://www.theverge.com/2024/2/7/24064558/apple-vision-pro-pixel-density-ifixit-teardown,https://cdn.vox-cdn.com/thumbor/OCMDsvIP1KxVIIUCpePnqLWFoyU=/0x0:1300x866/1200x628/filters:focal(650x433:651x434)/cdn.vox-cdn.com/uploads/chorus_asset/file/25271979/unnamed__20_.jpg,2024-02-07T14:17:06Z,"A new Vision Pro teardown shows Apples incredible pixel density
A new Vision Pro teardown shows Apples incredible pixel density
 / iFixits extended Apple Vision Pro teardown reveals an impressive 3… [+2460 chars]"
31,"{'id': 'the-verge', 'name': 'The Verge'}",Andrew J. Hawkins,"Porsche’s second-ever EV will be an electric Macan SUV, starting at $80,450","Porsche announced the electric version of its Macan SUV, the first time the automaker is electrifying a preexisting model.",https://www.theverge.com/2024/1/25/24049607/porsche-macan-ev-specs-price-photos,https://cdn.vox-cdn.com/thumbor/HtCOYv3sLFn68JhKfPwgmxKhpRo=/0x0:4909x3273/1200x628/filters:focal(2455x1637:2456x1638)/cdn.vox-cdn.com/uploads/chorus_asset/file/25246971/DSC08885.jpg,2024-01-25T12:30:00Z,"The Macan is expected to go into production in the latter half of 2024. 
ByAndrew J. Hawkins, transportation editor with 10+ years of experience who covers EVs, public transportation, and aviation. … [+4792 chars]"
32,"{'id': 'the-verge', 'name': 'The Verge'}",Chris Welch,Bose’s new earbuds don’t go inside your ears at all,"Bose has announced the $299 Ultra Open Earbuds, a new style of earbuds with a unique clip-on design that frees up your ears to remain present in the world around you.",https://www.theverge.com/2024/2/15/24073713/bose-ultra-open-earbuds-announced-features,https://cdn.vox-cdn.com/thumbor/3Zn_rZE2QaF242cfXVkJjnS7kfQ=/0x0:1431x906/1200x628/filters:focal(716x453:717x454)/cdn.vox-cdn.com/uploads/chorus_asset/file/25287446/Bose_Ultra_Open_Earbuds_11.jpg,2024-02-15T14:00:00Z,"Boses new earbuds dont go inside your ears at all
Boses new earbuds dont go inside your ears at all
 / The Ultra Open Earbuds are meant to be worn all day, and they free up your ears so you can hea… [+2528 chars]"
33,"{'id': 'the-verge', 'name': 'The Verge'}",Sheena Vasani,Today is the last day to score preorder promos on the Galaxy S24 series,"If you want to preorder a Samsung Galaxy S24, S24 Plus, or S24 Ultra with a free storage upgrade and up to $200 in gift cards, this might be your last chance to do so.",https://www.theverge.com/2024/1/30/24050368/samsung-galaxy-s24-plus-ultra-preorder-gift-card-deal-sale,https://cdn.vox-cdn.com/thumbor/nToy-ohIRYBZ82ouoMPhRuzAU0c=/0x0:2000x1333/1200x628/filters:focal(1000x667:1001x668)/cdn.vox-cdn.com/uploads/chorus_asset/file/25253490/DSC06525.jpg,2024-01-30T17:00:00Z,"Today is the last day to score preorder promos on the Galaxy S24 series
Today is the last day to score preorder promos on the Galaxy S24 series
 / The clock is ticking if you want to pick up free s… [+3767 chars]"
34,"{'id': 'the-verge', 'name': 'The Verge'}",Sheena Vasani,The Nintendo Switch has received a rare discount at Amazon,"You can buy the Nintendo Switch with neon blue and red Joy-Cons for just $269 ($30 off), which is a rare deal on the hybrid console.",https://www.theverge.com/2024/2/1/24058134/nintendo-switch-deal-sale-amazon,https://cdn.vox-cdn.com/thumbor/8BMyEYKq1R7zvqxnf8b-FT7DGYQ=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/8070167/jbareham_1492_170228_0173.0.jpg,2024-02-01T18:16:40Z,"The Nintendo Switch has received a rare discount at Amazon
The Nintendo Switch has received a rare discount at Amazon
 / You can buy the Nintendo Switch for just $269 at Amazon.
BySheena Vasani, a… [+1331 chars]"
35,"{'id': 'the-verge', 'name': 'The Verge'}",Brandon Widder,Insta360’s auto-swiveling Link webcam has fallen to its best price to date,"The Insta360 Link webcam is down to just $249.99 ($50 off) for a limited time. Plus, we’re seeing steep discounts on  Mobvoi’s long-lasting TicWatch Pro 5 and the TCL QM8.",https://www.theverge.com/2024/1/24/24048446/insta360-link-webcam-mobvoi-ticwatch-pro-5-tcl-qm8-mini-led-tv-deal-sale,https://cdn.vox-cdn.com/thumbor/2WyJrZeZqzoQZ0DLEtRS1YJTwMo=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/23909866/cfaulkner_220727_5351_0001.jpg,2024-01-24T19:27:58Z,"Insta360s auto-swiveling Link webcam has fallen to its best price to date
Insta360s auto-swiveling Link webcam has fallen to its best price to date
 / Were also seeing solid deals on the latest Air… [+5118 chars]"
36,"{'id': 'the-verge', 'name': 'The Verge'}",Chris Welch,"Bose’s Ultra Open Earbuds are its boldest, most unique earbuds yet",Bose’s new earbuds have a clip-on design and attach to your outer ear without blocking your ear canal. This allows you to always hear the outside world along with your music.,https://www.theverge.com/24073019/bose-ultra-open-earbuds-review,https://cdn.vox-cdn.com/thumbor/_QSrNbD2w3BU5kN8KtFd2JMq320=/0x0:2040x1360/1200x628/filters:focal(1029x590:1030x591)/cdn.vox-cdn.com/uploads/chorus_asset/file/25286103/DSCF6450.jpg,2024-02-15T14:00:00Z,"With a design that clings to your outer ear, these earbuds are unlike anything the company has made before — and Bose hopes they’ll find more success than its unconventional products of the past. Bos… [+9944 chars]"
37,"{'id': 'the-verge', 'name': 'The Verge'}",Chris Welch,JBL Authentics 300 smart speaker review: two assistants at once,"JBL’s Authentics 300 speaker has the unique ability to run Amazon Alexa and Google Assistant at the same time. The retro style and powerful sound help solidify its appeal, too.",https://www.theverge.com/24065942/jbl-authentics-300-speaker-review-alexa-google-assistant,https://cdn.vox-cdn.com/thumbor/j6EDEaYkeeB_RF6IfNXj8ulr0Ok=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25274108/DSCF4193_Enhanced_NR.jpg,2024-02-08T15:45:00Z,"JBL is the first to make Amazon Alexa and Google Assistant coexist on the same speaker, and it works quite well. But the price you pay for that convenience feels a little uneven. JBL’s Authentics lin… [+7306 chars]"
38,"{'id': 'the-verge', 'name': 'The Verge'}",Andrew J. Hawkins,Chrysler Halcyon concept is a reminder the company can be more than just minivans,"Chrysler revealed its Halcyon concept, a stunning four-door sports car with electric and autonomous capabilities. And more importantly, it’s not a minivan.",https://www.theverge.com/2024/2/13/24067683/chrysler-halcyon-concept-ev-autonomous-specs-photos,https://cdn.vox-cdn.com/thumbor/mv4UTv0otXueZv67fkjMlJ0sazQ=/0x0:3000x2002/1200x628/filters:focal(1500x1001:1501x1002)/cdn.vox-cdn.com/uploads/chorus_asset/file/25282061/CN024_004CH.jpg,2024-02-13T10:01:00Z,"Chrysler Halcyon concept is a reminder the company can be more than just minivans
Chrysler Halcyon concept is a reminder the company can be more than just minivans
 / The brand most known for its P… [+6070 chars]"
